danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
0.232,0.865,0.0462,0.468,0.347,0.143,0.227,95.423,7
0.3,0.936,0.0456,0.034,0.0209,0.158,0.757,133.115,7
0.447,0.97,0.0508,0.00753,0.000291,0.199,0.588,94.254,7
0.349,0.98,0.0526,0.000785,0.858,0.173,0.585,154.647,7
0.391,0.963,0.0467,0.00877,0.00251,0.228,0.658,110.691,7
0.349,0.97,0.0457,0.0112,0.248,0.418,0.63,80.12,7
0.347,0.98,0.0697,0.00266,0.000299,0.245,0.563,131.796,7
0.301,0.974,0.102,0.0282,0.0498,0.242,0.328,136.013,7
0.39,0.932,0.0665,0.0992,0.00974,0.322,0.141,112.022,7
0.335,0.965,0.0638,9.4e-05,0.00219,0.141,0.622,127.744,7
0.289,0.942,0.0653,0.00161,0.000675,0.139,0.498,154.601,7
0.28,0.817,0.0457,0.00325,0.0343,0.0855,0.366,156.525,7
0.249,0.943,0.0491,0.000119,0.0301,0.281,0.325,87.577,7
0.328,0.667,0.0322,0.00569,3.56e-05,0.0873,0.291,140.38,7
0.304,0.967,0.0585,0.00185,1.32e-06,0.275,0.367,136.192,7
0.592,0.93,0.0379,0.001,9.44e-05,0.0777,0.695,98.092,7
0.261,0.957,0.0573,0.000143,8.51e-06,0.0597,0.51,81.287,7
0.308,0.866,0.0593,0.000738,0.00146,0.232,0.228,109.823,7
0.381,0.341,0.0414,0.161,0.0403,0.448,0.178,143.756,7
0.285,0.322,0.0445,0.367,0.649,0.107,0.138,133.577,7
0.615,0.945,0.0774,0.00809,9.14e-05,0.124,0.518,130.616,7
0.477,0.471,0.0277,0.193,1.76e-06,0.131,0.423,81.204,7
0.631,0.935,0.0564,0.00535,0.0168,0.151,0.404,115.687,7
0.387,0.92,0.109,0.0343,5.35e-05,0.369,0.572,92.512,7
0.519,0.882,0.0714,0.0106,8.18e-06,0.0776,0.362,128.019,7
0.576,0.67,0.0335,0.188,0.000345,0.159,0.394,104.818,7
0.498,0.972,0.0602,0.0733,0.0,0.383,0.539,159.579,7
0.334,0.532,0.0301,0.152,0.964,0.139,0.0905,94.83,7
0.588,0.405,0.027,0.243,1.85e-05,0.0946,0.421,74.472,7
0.36,0.794,0.0418,0.0742,7.19e-06,0.0976,0.446,175.682,7
0.603,0.529,0.0447,0.137,1.87e-05,0.116,0.537,118.52,7
0.323,0.978,0.0818,0.00529,0.000435,0.947,0.338,131.178,7
0.546,0.697,0.0631,0.272,0.00558,0.649,0.755,96.752,7
0.617,0.544,0.0433,0.425,0.000948,0.34,0.623,119.068,7
0.565,0.782,0.0295,0.247,0.827,0.611,0.867,98.672,7
0.588,0.881,0.0459,0.0567,0.076,0.273,0.816,112.176,7
0.722,0.561,0.0614,0.282,2.75e-06,0.0412,0.882,148.323,7
0.702,0.492,0.0323,0.208,0.000935,0.194,0.703,112.802,7
0.65,0.453,0.0286,0.147,0.000768,0.104,0.546,85.139,7
0.668,0.3,0.0535,0.458,0.0222,0.0547,0.496,60.688,7
0.936,0.249,0.0641,0.0374,0.00452,0.0631,0.822,119.986,7
0.896,0.329,0.0726,0.103,0.00836,0.0547,0.964,124.895,7
0.821,0.243,0.0453,0.429,0.0119,0.0671,0.626,97.306,7
0.653,0.888,0.107,0.364,0.000598,0.12,0.813,90.384,7
0.569,0.678,0.028,0.217,0.0848,0.0526,0.788,97.438,7
0.622,0.885,0.0562,0.624,0.00449,0.161,0.809,77.95,7
0.269,0.935,0.0583,0.328,0.000134,0.435,0.928,196.844,7
0.421,0.685,0.0626,0.474,0.0,0.102,0.583,106.881,7
0.476,0.474,0.105,0.313,1.48e-06,0.199,0.541,148.436,7
0.67,0.273,0.235,0.339,0.0,0.339,0.63,116.202,7
0.467,0.35,0.0666,0.107,2.04e-05,0.0867,0.337,113.552,7
0.546,0.644,0.548,0.379,0.0,0.431,0.809,101.081,7
0.536,0.741,0.346,0.0072,0.783,0.83,0.761,100.725,7
0.473,0.847,0.245,0.587,0.0,0.594,0.674,157.2,7
0.719,0.97,0.14,0.259,0.473,0.94,0.0981,91.625,7
0.425,0.896,0.257,0.397,1.6e-06,0.725,0.501,171.755,7
0.584,0.645,0.116,0.542,5.4e-06,0.768,0.552,111.286,7
0.377,0.883,0.498,0.274,0.0,0.762,0.581,88.861,7
0.197,0.796,0.0645,0.000541,0.417,0.187,0.522,175.02,7
0.383,0.814,0.0405,0.0011,0.00406,0.101,0.569,116.454,7
0.488,0.634,0.0346,0.00367,0.0,0.254,0.681,76.698,7
0.449,0.424,0.0323,0.32,1.69e-06,0.107,0.259,125.494,7
0.344,0.497,0.0395,0.615,0.000246,0.151,0.375,134.169,7
0.434,0.658,0.0428,0.0433,0.00201,0.0992,0.571,111.641,7
0.333,0.515,0.058,0.29,0.00138,0.106,0.243,125.854,7
0.337,0.434,0.0435,0.559,0.000368,0.106,0.175,123.486,7
0.344,0.397,0.0322,0.143,9.78e-06,0.114,0.232,104.469,7
0.359,0.717,0.0405,0.015,0.00365,0.36,0.47,121.878,7
0.379,0.682,0.0345,0.00784,0.017,0.13,0.686,138.804,7
0.483,0.576,0.0282,0.000597,0.000122,0.132,0.768,132.231,7
0.451,0.851,0.0791,0.0199,0.000625,0.076,0.488,122.153,7
0.571,0.967,0.103,7.76e-05,0.613,0.11,0.442,110.004,7
0.544,0.966,0.0976,7.71e-05,0.0184,0.281,0.455,120.021,7
0.538,0.931,0.046,7.07e-05,0.0287,0.158,0.626,92.004,7
0.488,0.953,0.0565,0.000101,0.00663,0.38,0.653,146.991,7
0.54,0.909,0.0364,0.000588,1.07e-05,0.599,0.495,120.035,7
0.414,0.896,0.0491,0.000256,0.0031,0.218,0.396,165.063,7
